HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
KMT2B	lysine (K)-specific methyltransferase 2B	KMT2B_HUMAN	zf-CXXC PF02008 959-1005, PHD PF00628 1203-1250 1251-1300 1337-1393, zf-HC5HC2H PF13771 1605-1685, FYRN PF05964 1731-1784, FYRC PF05965 2415-2494, SET PF00856 2580-2691	KMT2B_MOUSE	Histone modification write	Histone methylation	Menin-associated_HMT, MLL2/3, COMPASS-like MLL3,4	H3K4	H3K4me3
KMT2C	lysine (K)-specific methyltransferase 2C	KMT2C_HUMAN	zf-HC5HC2H PF13771 248-331, PHD PF00628 343-389 390-436 466-519 958-1008, zf-HC5HC2H_2 PF13832 4401-4506, FYRN PF05964 4546-4604, FYRC PF05965 4608-4692, SET PF00856 4781-4887	KMT2C_MOUSE	Histone modification write	Histone methylation	MLL2/3, COMPASS-like MLL3,4	H3K4	H3K4me
KMT2D	lysine (K)-specific methyltransferase 2D	KMT2D_HUMAN	zf-HC5HC2H PF13771 139-218, PHD PF00628 228-274 276-321 1379-1428 1429-1474, zf-HC5HC2H_2 PF13832 5031-5136, FYRN PF05964 5176-5233, FYRC PF05965 5236-5322, SET PF00856 5408-5513	KMT2D_MOUSE	Histone modification write	Histone methylation	COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	H3K4	H3K4me
KMT2E	lysine (K)-specific methyltransferase 2E	KMT2E_HUMAN	PHD_5 PF20826 118-164, SET PF00856 343-447	KMT2E_MOUSE	Histone modification write	Histone methylation	#	H3K4	H3K4me1, H3K4me2
L3MBTL1	l(3)mbt-like 1 (Drosophila)	LMBL1_HUMAN	MBT PF02820 310-377 417-484 521-586, zf-C2HC PF01530 622-650	LMBL1_MOUSE	Histone modification read	#	L3MBTL1	H1BK26, H4K20	#
L3MBTL2	l(3)mbt-like 2 (Drosophila)	LMBL2_HUMAN	zf-FCS_1 PF21319 87-118, MBT PF02820 214-286 327-390 432-503 540-604	LMBL2_MOUSE	Histone modification read	#	RING2-L3MBTL2	H3K4, H3K9, H3K27, H4K20	#
L3MBTL3	l(3)mbt-like 3 (Drosophila)	LMBL3_HUMAN	MBT PF02820 268-335 375-441 479-544, SAM_1 PF00536 707-770	LMBL3_MOUSE	Histone modification read	#	#	H4K20me	#
L3MBTL4	l(3)mbt-like 4 (Drosophila)	LMBL4_HUMAN	MBT PF02820 88-155 196-263 300-366, zf-C2HC PF01530 379-407, SAM_1 PF00536 543-605	LMBL4_MOUSE	Histone modification read	#	#	HKme	#
LAS1L	LAS1-like (S. cerevisiae)	LAS1L_HUMAN	Las1 PF04031 43-187	LAS1L_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7	H3K4, H3,H4,H2A	H3K4me, H3K4me2, H3Ac, H4Ac, H2AAc
LBR	lamin B receptor	LBR_HUMAN	LBR_tudor PF09465 2-56, ERG4_ERG24 PF01222 199-615	LBR_MOUSE	#	#	#	#	#
LEO1	Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	LEO1_HUMAN	Leo1 PF04004 374-538	LEO1_MOUSE	Histone modification write cofactor	Histone ubiquitination	#	#	#
LRWD1	leucine-rich repeats and WD repeat domain containing 1	LRWD1_HUMAN	domain PF12799 48-104, WD40 PF00400 384-421	LRWD1_MOUSE	Chromatin remodeling	#	#	H3K9me3, H3K27me3	#
MAGOH	Protein mago nashi homolog	MGN_HUMAN	Mago_nashi PF02792 5-146	MGN_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
MAP3K7	mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN	PK_Tyr_Ser-Thr PF07714 36-284	M3K7_MOUSE	Histone modification write	#	#	#	#
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	MAPK3_HUMAN	Pkinase PF00069 47-304	MAPK3_MOUSE	Chromatin remodeling	#	#	#	#
MASTL	microtubule associated serine/threonine kinase-like	GWL_HUMAN	Pkinase PF00069 36-188 736-835	GWL_MOUSE	Histone modification write	Histone phosphorylation	#	H1, H3	H1p, H3p
MAX	MYC associated factor X	MAX_HUMAN	HLH PF00010 24-74	MAX_MOUSE	Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF activator, TF repressor	CHD8, MLL2/3, MLL4/WBP7	DNA motif	#
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	MAZ_HUMAN	zf-C2H2 PF00096 279-301 337-360 366-388, zf-C2H2_4 PF13894 307-329	MAZ_MOUSE	Chromatin remodeling	#	#	#	#
MBD1	methyl-CpG binding domain protein 1	MBD1_HUMAN	MBD PF01429 2-70, zf-CXXC PF02008 169-215 219-262 331-377	MBD1_MOUSE	Histone modification write cofactor, TF	Histone methylation, TF repressor	#	mCG, DNA motif	#
MBD2	methyl-CpG binding domain protein 2	MBD2_HUMAN	MBD PF01429 150-213, MBDa PF16564 221-294, MBD_C PF14048 296-385	MBD2_MOUSE	Histone modification write cofactor, Histone modification erase cofactor, TF	Histone methylation, Histone acetylation, TF repressor	NuRD, MeCP1	mCG, DNA motif	#
MBD3	methyl-CpG binding domain protein 3	MBD3_HUMAN	MBD PF01429 2-69, MBDa PF16564 79-149, MBD_C PF14048 152-241	MBD3_MOUSE	Histone modification erase cofactor	Histone acetylation	NuRD	#	#
MBD4	methyl-CpG binding domain protein 4	MBD4_HUMAN	MBD PF01429 81-149, domain PF00730 463-560	MBD4_MOUSE	DNA modification	#	#	G:T, G:U	#
MBD5	methyl-CpG binding domain protein 5	MBD5_HUMAN		MBD5_MOUSE	Chromatin remodeling	#	#	#	#
MBD6	methyl-CpG binding domain protein 6	MBD6_HUMAN		MBD6_MOUSE	Chromatin remodeling	#	#	#	#
MBIP	MAP3K12 binding inhibitory protein 1	MBIP1_HUMAN		MBIP1_MOUSE	Histone modification write cofactor	Histone acetylation	ATAC	#	#
MBNL1	Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein)	MBNL1_HUMAN	zf-CCCH_2 PF14608 19-39, domain PF22628 48-86 216-253, zf-CCCH PF00642 183-205	MBNL1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
MBNL3	Muscleblind-like protein 3 (Cys3His CCG1-required protein) (Muscleblind-like X-linked protein) (Protein HCHCR)	MBNL3_HUMAN	zf-CCCH_2 PF14608 20-40, domain PF22628 49-87 211-248, zf-CCCH_4 PF18044 179-200	MBNL3_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
MBTD1	mbt domain containing 1	MBTD1_HUMAN	zf-FCS_1 PF21319 52-82, MBT PF02820 189-248 289-352 388-459 496-560	MBTD1_MOUSE	Polycomb group (PcG) protein	#	#	H4K20me1, H4K20me2	#
MCRS1	microspherule protein 1	MCRS1_HUMAN	MCRS_N PF13325 134-331, FHA PF00498 363-435	MCRS1_MOUSE	Histone modification write	Histone acetylation	Ino80, NSL, CHD8, MLL2/3, MLL4/WBP7	H4K5, H4K8, H4K16	H4K5ac, H4K8ac, H4K16ac
MDC1	mediator of DNA-damage checkpoint 1	MDC1_HUMAN	FHA PF00498 54-122, RTT107_BRCT_5 PF16770 1888-1970, BRCT_2 PF16589 1994-2074	MDC1_MOUSE	Histone modification read	#	#	H2AX	#
MEAF6	MYST/Esa1-associated factor 6	EAF6_HUMAN	NuA4 PF09340 18-95	EAF6_MOUSE	Histone modification write cofactor	Histone acetylation	HBO1, NuA4, MOZ/MORF	H2A, H3K14, H4K5, H4K8, H4K12	H2Aac, H3K14ac, H4K5ac, H4K8ac, H4K12ac
MECP2	methyl CpG binding protein 2	MECP2_HUMAN	MBD PF01429 97-159	MECP2_MOUSE	Histone modification write cofactor, Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF repressor	#	mCG, DNA motif	#
MEN1	multiple endocrine neoplasia I	MEN1_HUMAN	Menin PF05053 4-499 550-610	MEN1_MOUSE	Histone modification write cofactor	Histone methylation	Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	H3K4	H3K4me
METTL11B	methyltransferase like 11B	NTM1B_HUMAN	Methyltransf_PK PF05891 65-278	NTM1B_MOUSE	Histone modification writer	Histone methylation	#	CENP-A	K55m
METTL14	methyltransferase like 14	MET14_HUMAN	MT-A70 PF05063 186-363	MET14_MOUSE	RNA modification	RNA methylation	WMM	A of mRNA	m(6)A
METTL16	methyltransferase like 16	MET16_HUMAN	Methyltransf_10 PF05971 1-291	MET16_MOUSE	RNA modification	RNA methylation	#	U6 snRNA (A43)	m6A43
METTL21A	methyltransferase like 21A	MT21A_HUMAN	Methyltransf_16 PF10294 26-189	MT21A_MOUSE	Protein modification	Protein methylation	#	Hsp70	Km3
METTL3	methyltransferase like 3	MTA70_HUMAN	MT-A70 PF05063 389-550	MTA70_MOUSE	RNA modification	RNA methylation	WMM	A of mRNA	m(6)A
METTL4	methyltransferase like 4	METL4_HUMAN	MT-A70 PF05063 281-454	METL4_MOUSE	RNA modification, DNA modification	RNA methylation, DNA methylation	#	A of DNA, U2 snRNA	m(6)A
MGA	MGA, MAX dimerization protein	MGAP_HUMAN	T-box PF00907 77-259, MGA_dom PF16059 1043-1085, HLH PF00010 2425-2474	MGAP_MOUSE	Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF activator, TF repressor	RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7	DNA motif	#
MGEA5	meningioma expressed antigen 5 (hyaluronidase)	NCOAT_HUMAN	NAGidase PF07555 61-341	NCOAT_MOUSE	Histone modification write	Histone acetylation	#	H3K14, H4K8	H3K14ac, H4K8ac
MINA	MYC induced nuclear antigen	MINA_HUMAN	JmjC_2 PF08007 137-261, ROXA-like_wH PF20514 331-431	MINA_MOUSE	Histone modification erase	Histone methylation	#	H3K9me3	H3K9
MIS18A	MIS18 kinetochore protein A	MS18A_HUMAN	Yippee-Mis18 PF03226 81-186	MIS18A_MOUSE	Chromatin remodeling	#	Mis18	CENPA	#
MIS18BP1	MIS18 binding protein 1	M18BP_HUMAN	SANTA PF09133 376-470	M18BP_MOUSE	Chromatin remodeling	#	Mis18	CENPA	#
MLLT1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1	ENL_HUMAN	YEATS PF03366 27-107, AHD PF17793 496-555	#	Chromatin remodeling cofactor	#	SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB	#	#
MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	AF10_HUMAN	PHD_2 PF13831 37-72, zf-HC5HC2H_2 PF13832 80-197	AF10_MOUSE	Histone modification write cofactor	Histone methylation	#	H3K79	H3K79me3
MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	AF17_HUMAN	PHD_2 PF13831 20-55, zf-HC5HC2H_2 PF13832 63-180	#	Histone modification write cofactor	Histone methylation	#	H3K79	H3K79me3
MORF4L1	mortality factor 4 like 1	MO4L1_HUMAN	Tudor-knot PF11717 11-52, MRG PF05712 175-351	MO4L1_MOUSE	Histone modification read	#	NuA4	H4	#
MORF4L2	mortality factor 4 like 2	MO4L2_HUMAN	MRG PF05712 101-280	MO4L2_MOUSE	Histone modification erase cofactor	Histone acetylation	NuA4	#	#
MOV10	Mov10 RISC complex RNA helicase	MOV10_HUMAN	MOV-10_N PF21632 15-85, MOV-10_Ig-like PF21633 119-240, Mov-10_helical PF21635 291-358, MOV-10_beta-barrel PF21634 358-448, AAA_11 PF13086 499-572 610-690, AAA_12 PF13087 699-921	MOV10_MOUSE	#	#	#	#	#
MPHOSPH8	M-phase phosphoprotein 8	MPP8_HUMAN	Chromo PF00385 59-108, Ank_2 PF12796 571-665, Ank PF00023 666-695	MPP8_MOUSE	Histone modification read	#	#	H3K9me3, H3K9me2	#
MPND	MPN domain-containing	MPND_HUMAN	RAMA PF18755 66-169, JAB PF01398 271-369	MPND_MOUSE	Histone modification erase	Histone ubiquitination	#	H2A-Ub (K119)	H2A
MRGBP	MRG/MORF4L binding protein	MRGBP_HUMAN	Eaf7 PF07904 36-96	MRGBP_MOUSE	Histone modification write cofactor	Histone acetylation	NuA4	#	#
MSH6	mutS homolog 6	MSH6_HUMAN	PWWP PF00855 92-182, MutS_I PF01624 408-524, MutS_II PF05188 538-693, MutS_III PF05192 738-1064, MutS_IV PF05190 932-1024, MutS_V PF00488 1130-1324	MSH6_MOUSE	Histone modification read	#	#	H3K36me3	#
MSL1	male-specific lethal 1 homolog (Drosophila)	MSL1_HUMAN	MSL1_dimer PF16801 216-250, PEHE PF15275 478-591	MSL1_MOUSE	Histone modification write	Histone ubiquitination	#	H2BK34	H2BK34ub
MSL2	male-specific lethal 2 homolog (Drosophila)	MSL2_HUMAN	zf-RING_10 PF16685 39-110, MSL2-CXC PF16682 455-506	MSL2_MOUSE	Histone modification write	Histone ubiquitination	#	H2BK34	H2BK34ub
MSL3	male-specific lethal 3 homolog (Drosophila)	MS3L1_HUMAN	domain PF22732 11-87, MRG PF05712 161-505	MS3L1_MOUSE	Histone modification read	#	#	H4K20me1	#
MST1	macrophage stimulating 1 (hepatocyte growth factor-like)	HGFL_HUMAN	PAN_1 PF00024 26-104, Kringle PF00051 109-186 190-268 283-361 370-448, Trypsin PF00089 485-704	HGFL_MOUSE	Histone modification	#	#	#	#
MTA1	metastasis associated 1	MTA1_HUMAN	BAH PF01426 5-162, ELM2 PF01448 167-219, Myb_DNA-binding PF00249 287-331, GATA PF00320 393-429, MTA_R1 PF17226 464-543	MTA1_MOUSE	Chromatin remodeling cofactor	#	NuRD	#	#
MTA2	metastasis associated 1 family, member 2	MTA2_HUMAN	BAH PF01426 4-142, ELM2 PF01448 147-199, Myb_DNA-binding PF00249 266-311, GATA PF00320 367-403, MTA_R1 PF17226 450-525	MTA2_MOUSE	Histone modification erase cofactor	Histone acetylation	NuRD	#	#
MTA3	metastasis associated 1 family, member 3	MTA3_HUMAN	BAH PF01426 4-145, ELM2 PF01448 150-202, Myb_DNA-binding PF00249 269-314, GATA PF00320 379-415, MTA_R1 PF17226 462-537	MTA3_MOUSE	Chromatin remodeling cofactor	#	NuRD	#	#
MTF2	metal response element binding transcription factor 2	MTF2_HUMAN	Tudor_2 PF18104 49-84, PHD PF00628 105-154, Mtf2_C PF14061 544-590	MTF2_MOUSE	Polycomb group (PcG) protein	#	PRC2	H3K36me3	#
MUM1	melanoma associated antigen (mutated) 1	MUM1_HUMAN	PWP3A-B_N PF20887 1-105, MUM1-like_PWWP PF20884 411-484, PWP3A-B_C PF20886 561-707	MUM1_MOUSE	Histone modification read	#	#	H3K36me, K3K79me, H4K20me	#
MYBBP1A	MYB binding protein (P160) 1a	MBB1A_HUMAN	DNA_pol_phi PF04931 38-834	MBB1A_MOUSE	Chromatin remodeling cofactor	#	B-WICH	#	#
MYO1C	myosin IC	MYO1C_HUMAN	Myosin_head PF00063 49-718, IQ PF00612 737-755 758-778, Myosin_TH1 PF06017 887-1058	MYO1C_MOUSE	Chromatin remodeling cofactor	#	B-WICH	#	#
MYSM1	Myb-like, SWIRM and MPN domains 1	MYSM1_HUMAN	Myb_DNA-binding PF00249 120-163, SWIRM PF04433 382-461, JAB PF01398 576-679	MYSM1_MOUSE	Histone modification erase	Histone ubiquitination	#	H2Aub	H2A
NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	NAA60_HUMAN	Acetyltransf_1 PF00583 27-155	NAA60_MOUSE	Histone modification write	Histone acetylation	#	H4K20, H4K79, H4K91	H4K20ac, H4K79ac, H4K91ac
NAP1L1	nucleosome assembly protein 1-like 1	NP1L1_HUMAN	NAP PF00956 77-344	NP1L1_MOUSE	Histone chaperone	#	#	#	#
NAP1L2	nucleosome assembly protein 1-like 2	NP1L2_HUMAN	NAP PF00956 111-408	NP1L2_MOUSE	Histone modification cofactor	#	#	H3, H4	#
NAP1L4	nucleosome assembly protein 1-like 4	NP1L4_HUMAN	NAP PF00956 65-338	NP1L4_MOUSE	Histone modification cofactor	#	#	H3, H4	#
NASP	nuclear autoantigenic sperm protein (histone-binding)	NASP_HUMAN	SHNi-TPR PF10516 542-575, TPR_8 PF13181 584-615	NASP_MOUSE	Chromatin remodeling	#	#	H1	#
NAT10	N-acetyltransferase 10 (GCN5-related)	NAT10_HUMAN	TmcA_N PF08351 9-201, Helicase_RecD PF05127 282-486, GNAT_acetyltr_2 PF13718 529-753, tRNA_bind_2 PF13725 763-974	NAT10_MOUSE	Histone modification write	Histone acetylation	#	#	#
NAT10	N-acetyltransferase 10	NAT10_HUMAN	TmcA_N PF08351 9-201, Helicase_RecD PF05127 282-486, GNAT_acetyltr_2 PF13718 529-753, tRNA_bind_2 PF13725 763-974	NAT10_MOUSE	RNA modification	RNA acetylation	#	C of mRNA	ac4C
NBN	nibrin	NBN_HUMAN	FHA PF00498 24-100, BRCT PF00533 114-181, NIBRIN_BRCT_II PF16508 217-323, Nbs1_C PF08599 685-749	NBN_MOUSE	Chromatin remodeling	#	#	H2AX	#
NCL	nucleolin	NUCL_HUMAN	RRM_1 PF00076 309-377 395-459 488-554 574-641	NUCL_MOUSE	Histone chaperone	#	#	DNA motif, RNA motif	#
NCOA1	nuclear receptor coactivator 1	NCOA1_HUMAN	PAS PF00989 116-176, PAS_11 PF14598 259-368, NCOA_u2 PF16665 437-682, SRC-1 PF08832 630-699, Nuc_rec_co-act PF08815 921-974, DUF1518 PF07469 1142-1189 1208-1268	NCOA1_MOUSE	Histone modification write	Histone acetylation	#	H3, H4	#
NCOA2	nuclear receptor coactivator 2	NCOA2_HUMAN	PAS PF00989 119-182, PAS_11 PF14598 268-375, NCOA_u2 PF16665 463-581, SRC-1 PF08832 635-709, DUF4927 PF16279 730-821, Nuc_rec_co-act PF08815 1072-1115, DUF1518 PF07469 1274-1340	NCOA2_MOUSE	Chromatin remodeling cofactor	#	#	#	#
NCOA3	nuclear receptor coactivator 3	NCOA3_HUMAN	PAS PF00989 117-179, PAS_11 PF14598 265-372, NCOA_u2 PF16665 490-572, SRC-1 PF08832 588-707, DUF4927 PF16279 722-817, Nuc_rec_co-act PF08815 1045-1092, DUF1518 PF07469 1273-1348	NCOA3_MOUSE	Histone modification write	Histone acetylation	#	#	#
NCOA6	nuclear receptor coactivator 6	NCOA6_HUMAN	NCOA6_TRADD-N PF13820 47-182	NCOA6_MOUSE	Histone modification write cofactor	Histone methylation	CHD8, MLL2/3, COMPASS-like MLL3,4	#	#
NCOR1	nuclear receptor corepressor 1	NCOR1_HUMAN	GPS2_interact PF15784 151-235, Myb_DNA-binding PF00249 626-670	NCOR1_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
NCOR2	nuclear receptor corepressor 2	NCOR2_HUMAN	GPS2_interact PF15784 150-228, Myb_DNA-binding PF00249 431-474 613-657	NCOR2_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
NEK6	NIMA-related kinase 6	NEK6_HUMAN	Pkinase PF00069 45-296	NEK6_MOUSE	Histone modification write	Histone phosphorylation	#	H1, H3	H1ph, H3ph
NEK9	NIMA-related kinase 9	NEK9_HUMAN	Pkinase PF00069 54-308, RCC1 PF00415 399-441 445-496 499-547, RCC1_2 PF13540 655-683	NEK9_MOUSE	Histone modification write	Histone phosphorylation	#	H1	H1ph
NFRKB	nuclear factor related to kappaB binding protein	NFRKB_HUMAN	NFRKB_winged PF14465 375-480	NFRKB_MOUSE	Chromatin remodeling cofactor, TF	#	Ino80	DNA motif	#
NFYB	nuclear transcription factor Y, beta	NFYB_HUMAN	CBFD_NFYB_HMF PF00808 58-122	NFYB_MOUSE	Chromatin remodeling, TF	TF activator	#	DNA motif	#
NFYC	nuclear transcription factor Y, gamma	NFYC_HUMAN	Histone PF00125 24-105	NFYC_MOUSE	Histone modification	#	#	#	#
NIPBL	Nipped-B homolog (Drosophila)	NIPBL_HUMAN	Cohesin_HEAT PF12765 1794-1835, Nipped-B_C PF12830 2276-2449	NIPBL_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	NOC2L_HUMAN	Noc2 PF03715 331-624	NOC2L_MOUSE	Chromatin remodeling, TF	TF repressor	#	H3	#
NPAS2	neuronal PAS domain protein 2	NPAS2_HUMAN	HLH PF00010 11-58, PAS PF00989 84-151, PAS_11 PF14598 250-353	NPAS2_MOUSE	Chromatin remodeling, TF	TF activator	#	DNA motif	#
NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM_HUMAN	Nucleoplasmin PF03066 17-117, NPM1-C PF16276 244-293	NPM_MOUSE	Histone chaperone	#	#	H3, H2B, H4	#
NPM2	nucleophosmin/nucleoplasmin 2	NPM2_HUMAN	Nucleoplasmin PF03066 19-119	NPM2_MOUSE	Histone chaperone	#	#	H2A, H2B	#
NSD1	nuclear receptor binding SET domain protein 1	NSD1_HUMAN	PWWP PF00855 318-408 1756-1846, domain PF23011 1542-1587, domain PF22908 1591-1639, domain PF23004 1640-1692, PHD PF00628 1710-1748, AWS PF17907 1900-1940, SET PF00856 1953-2059, C5HCH PF17982 2162-2210	NSD1_MOUSE	Histone modification write	Histone methylation	#	H3K36, H4K20	H3K36me, H4K20me
NSL1	NSL1, MIS12 kinetochore complex component	NSL1_HUMAN	Mis14 PF08641 80-190	NSL1_MOUSE	Histone modification write cofactor	Histone acetylation	#	H4K16	H4K16ac
NSRP1	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)	NSRP1_HUMAN	NSRP1_N PF09745 59-174, NRP1_C PF20427 310-489	NSRP1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
NSUN2	NOP2/Sun RNA methyltransferase 2	NSUN2_HUMAN	Methyltr_RsmB-F PF01189 170-341	NSUN2_MOUSE	RNA modification	RNA methylation	#	C of mRNA	m5C
NSUN6	NOP2/Sun RNA methyltransferase 6	NSUN6_HUMAN	Methyltr_RsmB-F PF01189 229-399	NSUN6_MOUSE	RNA modification	RNA methylation	#	C of mRNA	m5C
NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	NTM1A_HUMAN	Methyltransf_PK PF05891 8-222	NTM1A_MOUSE	Histone modification writer	Histone methylation	#	CENP-A, CENP-B, RCC1	Km1/m2/m3, Rm, Pm
NUP98	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	NUP98_HUMAN	Nup98_GLEBS PF21240 169-209, Nucleoporin2 PF04096 738-884, Nup96 PF12110 1331-1629	NUP98_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	OGT1_HUMAN	TPR_11 PF13414 90-144 363-410 429-471, TPR_8 PF13181 157-190 225-258, TPR_1 PF00515 191-224 259-292, TPR_12 PF13424 293-360, Glyco_transf_41 PF13844 477-1016	OGT1_MOUSE	Histone modification write	Histone GlcNAcylation	NSL	H2BS112	H2BS112GlcNa
OIP5	Opa interacting protein 5	MS18B_HUMAN	Yippee-Mis18 PF03226 76-182	MS18B_MOUSE	Chromatin remodeling	#	Mis18	CENPA	#
PADI1	peptidyl arginine deiminase, type I	PADI1_HUMAN	PAD_N PF08526 2-114, PAD_M PF08527 115-277, PAD PF03068 285-662	PADI1_MOUSE	Histone modification	Histone citrullination	#	H2AR, H3R, H4R	H2ARci, H3Rci, H4Rci
PADI2	peptidyl arginine deiminase, type II	PADI2_HUMAN	PAD_N PF08526 2-114, PAD_M PF08527 115-274, PAD PF03068 286-664	PADI2_MOUSE	Histone modification	Histone citrullination	#	H2AR, H3R, H4R	H2ARci, H3Rci, H4Rci
PADI3	peptidyl arginine deiminase, type III	PADI3_HUMAN	PAD_N PF08526 1-113, PAD_M PF08527 115-281, PAD PF03068 290-661	PADI3_MOUSE	Histone modification	Histone citrullination	#	H2AR, H3R, H4R	H2ARci, H3Rci, H4Rci
PADI4	peptidyl arginine deiminase, type IV	PADI4_HUMAN	PAD_N PF08526 1-113, PAD_M PF08527 113-275, PAD PF03068 286-661	PADI4_MOUSE	Histone modification	Histone citrullination	#	H2AR, H3R2, H3R8, H3R17, H3R26, H4R	H2ARci, H3R2ci, H3R8ci, H3R17ci, H3R26ci, H4Rci
PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	PAF1_HUMAN	Paf1 PF03985 31-420	PAF1_MOUSE	Histone modification write cofactor	Histone ubiquitination	#	H2, H3	#
PAGR1	PAXIP1 associated glutamate-rich protein 1	PAGR1_HUMAN	PAXIP1_C PF15364 88-226	PAGR1_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	#	#
PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	PAK2_HUMAN	PBD PF00786 73-130, Pkinase PF00069 249-500	PAK2_MOUSE	Histone modification write	Histone phosphorylation	#	H4S47	H4S47ph
PARG	poly (ADP-ribose) glycohydrolase	PARG_HUMAN	PARG_cat_N PF20811 582-699, PARG_cat_C PF05028 705-909	PARG_MOUSE	Chromatin remodeling	#	#	H3K9	#
PARP1	poly (ADP-ribose) polymerase 1	PARP1_HUMAN	zf-PARP PF00645 11-88 115-198, PADR1_N PF21728 232-290, PADR1_Zn_ribbon PF08063 291-332, BRCT PF00533 387-463, WGR PF05406 554-632, PARP_reg PF02877 662-794, PARP PF00644 808-1007	PARP1_MOUSE	Chromatin remodeling	#	#	H1	#
PARP2	poly (ADP-ribose) polymerase 2	PARP2_HUMAN	WGR PF05406 116-194, PARP_reg PF02877 231-363, PARP PF00644 376-577	PARP2_MOUSE	Chromatin remodeling cofactor	#	#	#	#
PARP3	poly (ADP-ribose) polymerase family, member 3	PARP3_HUMAN	WGR PF05406 66-144, PARP_reg PF02877 181-320, PARP PF00644 334-532	#	Polycomb group (PcG) protein	#	#	#	#
PAXIP1	PAX interacting (with transcription-activation domain) protein 1	PAXI1_HUMAN	PTCB-BRCT PF12738 102-165 710-771, BRCT PF00533 604-684, RTT107_BRCT_5 PF16770 860-947, BRCT_2 PF16589 973-1062	PAXI1_MOUSE	Histone modification write cofactor	Histone methylation	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	H3K4	H3K4me3
PBK	PDZ binding kinase	TOPK_HUMAN	Pkinase PF00069 35-317	TOPK_MOUSE	Histone modification write	Histone phosphorylation	#	H3S10	H3S10ph
PBRM1	polybromo 1	PB1_HUMAN	Bromodomain PF00439 64-136 200-272 400-470 541-608 677-746 790-865, BAH PF01426 957-1074 1156-1272, HMG_box PF00505 1379-1441	PB1_MOUSE	Histone modification read	#	PBAF, SWI/SNF BRM-BRG1	H3	#
PCGF1	polycomb group ring finger 1	PCGF1_HUMAN	zf-C3HC4_2 PF13923 47-85, RAWUL PF16207 190-253	PCGF1_MOUSE	Polycomb group (PcG) protein	#	PRC1, BCOR	#	#
PCGF2	polycomb group ring finger 2	PCGF2_HUMAN	zf-C3HC4_2 PF13923 18-56, RAWUL PF16207 164-228	PCGF2_MOUSE	Polycomb group (PcG) protein	#	PRC1	#	#
PCGF3	polycomb group ring finger 3	PCGF3_HUMAN	zf-C3HC4_2 PF13923 17-55, RAWUL PF16207 172-236	PCGF3_MOUSE	Polycomb group (PcG) protein	#	PRC1, RING2-FBRS	#	#
